float_id,time,depth_dbar,temperature_C,salinity_psu
b'1902453 ',2025-09-22 02:10:55.000228864,502.0,9.383,34.886
b'1902453 ',2025-09-22 02:10:55.000228864,504.0,9.363,34.884
b'1902453 ',2025-09-22 02:10:55.000228864,506.0,9.344,34.883
b'1902453 ',2025-09-22 02:10:55.000228864,508.0,9.319,34.879
b'1902453 ',2025-09-22 02:10:55.000228864,510.0,9.265,34.872
b'1902453 ',2025-09-22 02:10:55.000228864,512.0,9.218,34.866
b'1902453 ',2025-09-22 02:10:55.000228864,514.0,9.173,34.86
b'1902453 ',2025-09-22 02:10:55.000228864,516.0,9.108,34.853
b'1902453 ',2025-09-22 02:10:55.000228864,518.0,9.029,34.845
b'1902453 ',2025-09-22 02:10:55.000228864,520.0,8.985,34.841
b'1902453 ',2025-09-22 02:10:55.000228864,522.0,8.985,34.841
b'1902453 ',2025-09-22 02:10:55.000228864,524.0,8.996,34.844
b'1902453 ',2025-09-22 02:10:55.000228864,526.0,8.973,34.845
b'1902453 ',2025-09-22 02:10:55.000228864,528.0,8.905,34.84
b'1902453 ',2025-09-22 02:10:55.000228864,530.0,8.835,34.833
b'1902453 ',2025-09-22 02:10:55.000228864,532.0,8.8,34.83
b'1902453 ',2025-09-22 02:10:55.000228864,534.0,8.798,34.829
b'1902453 ',2025-09-22 02:10:55.000228864,536.0,8.796,34.829
b'1902453 ',2025-09-22 02:10:55.000228864,538.0,8.798,34.831
b'1902453 ',2025-09-22 02:10:55.000228864,540.0,8.799,34.833
b'1902453 ',2025-09-22 02:10:55.000228864,542.0,8.799,34.833
b'1902453 ',2025-09-22 02:10:55.000228864,544.0,8.816,34.844
b'1902453 ',2025-09-22 02:10:55.000228864,546.0,8.832,34.851
b'1902453 ',2025-09-22 02:10:55.000228864,548.0,8.834,34.853
b'1902453 ',2025-09-22 02:10:55.000228864,550.0,8.843,34.858
b'1902453 ',2025-09-22 02:10:55.000228864,552.0,8.847,34.864
b'1902453 ',2025-09-22 02:10:55.000228864,554.0,8.848,34.867
b'1902453 ',2025-09-22 02:10:55.000228864,556.0,8.853,34.871
b'1902453 ',2025-09-22 02:10:55.000228864,558.0,8.861,34.876
b'1902453 ',2025-09-22 02:10:55.000228864,560.0,8.849,34.875
b'1902453 ',2025-09-22 02:10:55.000228864,562.0,8.789,34.87
b'1902453 ',2025-09-22 02:10:55.000228864,564.0,8.8,34.879
b'1902453 ',2025-09-22 02:10:55.000228864,566.0,8.804,34.886
b'1902453 ',2025-09-22 02:10:55.000228864,568.0,8.804,34.886
b'1902453 ',2025-09-22 02:10:55.000228864,570.0,8.797,34.887
b'1902453 ',2025-09-22 02:10:55.000228864,572.0,8.78,34.886
b'1902453 ',2025-09-22 02:10:55.000228864,574.0,8.775,34.887
b'1902453 ',2025-09-22 02:10:55.000228864,576.0,8.765,34.887
b'1902453 ',2025-09-22 02:10:55.000228864,578.0,8.757,34.886
